"G0023500","G0085900","H0001900","H0002700","R0000100","R0001900","R0002100","R0002400","R0006500","R0009300","R0009400","R0017300","R0173600","R0214700","R0214800","R0215300","R0215301","R0220200","R0304410","R0305700","R0305800","R0307100","R0312300","R0312710","R0329800","R0329900","R0330000","R0330100","R0330200","R0393510","R0393520","R0402800","R0405210","R0405601","R0405700","R0406010","R0406511","R0406700","R0406701","R0407300","R0481600","R0481700","R0618301","R0645800","R0645801","R0655900","R0780400","R0897300","R0897301","R0988000","R1020700","R1021700","R1145800","R1146100","R1521000","R1521300","R1891700","R1892000","R2258800","R2259100","R2350010","R2446200","R2446500","R2716700","R2716800","R2718700","R2718800","R2718900","R2719000","R2719100","R2719200","R2720800","R2721000","R2721100","R2721200","R2721400","R2721500","R2722501","R2724701","R2743300","R2870110","R2870200","R2870800","R2870900","R2871300","R2871301","R2871400","R2872000","R2872300","R2872700","R2872800","R2877600","R3895400","R3914300"
-4,-4,-4,-4,1,11,0,1,8,1,23,12,5,3,2,61,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,505,-1,-4,120,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,0,0,2,11,0,1,5,7,39,9,5,3,2,42,0,21,16,0,0,0,5000,-4,1,-4,2,-4,4,1,3,-4,5,0,1,15000,1,53,0,1820,502,120,6841,51,0,5,-4,50,0,-4,-4,-4,52,0,51,0,54,0,53,0,23,62,0,-4,-4,0,-4,-4,-4,-4,-4,0,-4,-4,0,-4,-4,20000,-4,0,1,20000,1,1,29,1,2360,74,0,1,-4,0,2,-4
-4,375,1,0,3,21,1,1,10,1,21,10,5,3,2,43,1,18,20,-3,-3,0,7000,-4,1,-4,2,-4,-4,1,1,11,1,0,1,7000,1,55,0,1440,-5,-5,49444,-5,-5,2,0,51,0,-4,16,0,0,0,0,0,23,0,0,0,18,28,0,0,1,1,2,10,1,7,2,4,6,-4,2,6,-4,1000,30000,0,5,31000,1,2,26,0,294,18,0,1,-4,3,1,12
-4,-4,-4,-4,4,21,1,1,11,2,21,9,5,3,2,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,507,110,55761,0,0,1,0,18,0,-4,17,11,0,0,0,0,0,0,57,0,23,41,0,-4,-4,1,2,96,1,2,5,3,7,-4,1,7,-4,21320,-4,0,2,21320,1,3,26,1,1480,58,0,1,-4,1,1,11
-4,-4,-4,-4,5,11,1,1,12,0,-4,13,1,3,1,59,0,20,23,0,0,0,2000,-4,0,-4,-4,-4,-4,1,1,3,4,0,1,45000,1,46,0,832,503,130,96772,49,0,1,2,16,0,17,-4,17,13,0,12,0,-5,-5,94,0,-5,-5,-5,1,6,0,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,57124,18000,0,2,78300,1,2,29,1,2960,127,0,1,-4,0,-5,-5
-4,-4,1,1,6,11,1,1,12,1,-3,12,1,3,1,34,0,19,27,6,2,0,1700,-4,0,-4,-4,-4,-4,1,1,3,4,0,1,42500,0,14,0,318,504,200,99393,26,0,1,3,33,0,17,-4,16,22,0,43,0,56,0,48,0,26,56,0,2,15,0,-4,-4,-4,-4,-4,5,1,3,2,6,-4,20000,-4,0,1,20000,4,1,27,1,2080,64,0,1,1,0,0,16
-4,-4,-4,1,7,51,1,-4,12,0,-4,8,1,3,1,-4,-4,16,26,0,0,0,-4,-4,0,-4,-4,-4,-4,0,2,-4,5,0,1,35420,1,40,0,-4,505,131,47412,35,0,2,2,62,0,15,-4,16,43,0,0,0,0,0,0,0,24,0,0,3,8,1,3,18,0,-4,-4,0,-4,-4,0,-4,-4,0,-4,2,1,13200,4,1,24,1,0,0,0,-4,-4,0,0,11
-4,-4,1,1,8,11,1,1,9,7,40,12,6,3,2,9,0,21,23,0,0,0,3500,7000,0,-4,-4,-4,-4,1,1,11,4,1,1,11876,-3,23,1,885,505,179,44022,53,1,2,2,50,0,-4,17,18,52,0,53,0,49,0,10,0,22,45,0,2,3,1,9,96,1,21,12,2,7,-4,0,-4,-4,4237,-2,0,4,-2,1,3,30,1,999,55,0,1,-4,3,1,16
-4,-4,0,0,9,21,1,1,12,0,-4,9,1,3,1,-4,-4,16,26,3,0,0,-4,-4,0,-4,-4,-4,-4,1,1,-4,6,0,1,20000,1,10,0,-4,506,145,59683,46,0,2,6,49,0,16,-4,17,52,0,53,0,54,0,53,0,30,73,0,3,10,1,11,3,0,-4,-4,5,1,5,1,7,-4,18000,18000,0,2,37000,1,2,25,1,2600,61,0,1,-4,0,1,-4
-4,-4,-4,-4,10,51,0,-4,12,2,25,9,6,3,2,0,0,19,19,3,6,0,600,-4,1,1,-4,-4,-4,1,1,-4,4,0,1,-3,1,39,0,864,506,115,30039,53,0,2,2,56,0,-4,21,18,45,0,39,0,46,0,-5,-5,-5,-5,-5,2,2,1,1,10,1,20,3,3,6,-4,2,5,-4,5000,25000,0,4,30000,1,2,27,0,920,130,0,1,-4,2,0,14
-4,-4,0,0,11,51,1,-4,12,1,25,-3,1,3,1,49,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,511,155,85347,105,0,1,6,45,0,-4,-4,20,34,0,55,1,58,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,13
-4,-4,-4,-4,12,11,1,1,15,3,30,13,5,3,2,15,0,20,30,4,0,0,999,-4,0,-4,-4,-4,-4,1,1,-4,3,0,1,49000,1,23,0,244,506,118,89641,45,0,5,0,32,0,-4,21,16,67,0,36,0,54,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,1,0,13,11,1,1,12,1,23,14,1,3,1,61,0,21,25,0,0,0,3000,-4,0,-4,-4,-4,-4,1,1,3,4,0,1,-3,1,51,0,280,511,180,72313,56,0,2,4,49,0,17,-4,17,50,0,59,0,47,0,61,0,29,48,0,6,30,1,1,5,0,-4,-4,5,5,-4,0,-4,-4,22000,-4,0,1,23940,1,1,29,1,2640,61,0,1,-4,0,0,20
